Symbol,Date,avg_sentiment,news_count,sentiment_momentum
HBL,2021-03-15,0.7891557216644287,1,0.7891557216644287
HBL,2021-03-29,0.0,1,-0.7891557216644287
HBL,2021-04-27,0.6272536516189575,1,0.6272536516189575
HBL,2021-05-13,0.0,1,-0.6272536516189575
HBL,2021-05-14,0.0,1,0.0
HBL,2021-06-01,0.0,1,0.0
HBL,2021-06-24,0.0,1,0.0
HBL,2021-07-07,0.0,1,0.0
HBL,2021-07-19,0.0,1,0.0
HBL,2021-08-06,0.0,1,0.0
HBL,2021-08-13,-0.9697684645652772,1,-0.9697684645652772
HBL,2021-08-29,0.8626008629798889,1,1.832369327545166
HBL,2021-08-31,0.8513712882995605,1,-0.01122957468032837
HBL,2021-09-20,0.8205180168151855,1,-0.030853271484375
HBL,2021-10-06,0.0,1,-0.8205180168151855
HBL,2021-10-08,0.0,1,0.0
HBL,2021-11-14,0.7774278521537781,1,0.7774278521537781
HBL,2021-11-16,0.0,1,-0.7774278521537781
HBL,2021-11-29,0.534464418888092,1,0.534464418888092
HBL,2021-12-01,0.9038152694702148,1,0.3693508505821228
HBL,2021-12-17,0.0,1,-0.9038152694702148
HBL,2021-12-26,0.0,1,0.0
HBL,2022-01-10,0.8145230412483215,1,0.8145230412483215
HBL,2022-01-11,0.8388491272926331,1,0.024326086044311523
HBL,2022-01-12,0.5766159892082214,1,-0.2622331380844116
HBL,2022-01-16,0.0,2,-0.5766159892082214
HBL,2022-01-26,0.9545509219169616,1,0.9545509219169616
HBL,2022-03-13,0.6618355512619019,1,-0.2927153706550597
HBL,2022-05-26,0.5694140791893005,1,-0.09242147207260132
HBL,2022-06-06,0.0,1,-0.5694140791893005
HBL,2022-06-28,0.0,1,0.0
HBL,2022-07-13,0.0,1,0.0
HBL,2022-07-31,0.5479037761688232,1,0.5479037761688232
HBL,2022-08-03,0.9527523517608644,1,0.4048485755920411
HBL,2022-08-08,0.0,1,-0.9527523517608644
HBL,2022-08-10,0.0,1,0.0
HBL,2022-08-11,0.8997092843055725,1,0.8997092843055725
HBL,2022-08-23,0.0,3,-0.8997092843055725
HBL,2022-08-31,0.0,1,0.0
HBL,2022-09-04,0.0,1,0.0
HBL,2022-09-05,0.9048382639884948,1,0.9048382639884948
HBL,2022-09-13,0.9279311299324036,1,0.023092865943908802
HBL,2022-09-14,0.0,1,-0.9279311299324036
HBL,2022-09-20,0.0,1,0.0
HBL,2022-09-30,0.7261360287666321,1,0.7261360287666321
HBL,2022-11-01,0.0,1,-0.7261360287666321
HBL,2022-11-10,0.5602225065231323,1,0.5602225065231323
HBL,2022-11-23,0.0,1,-0.5602225065231323
HBL,2022-12-12,0.5593260526657104,1,0.5593260526657104
HBL,2022-12-15,0.5494976043701172,1,-0.009828448295593262
HBL,2022-12-20,0.0,1,-0.5494976043701172
HBL,2022-12-22,0.0,1,0.0
HBL,2023-01-11,0.0,1,0.0
HBL,2023-01-13,0.4384984076023102,2,0.4384984076023102
HBL,2023-01-24,0.0,1,-0.4384984076023102
HBL,2023-01-26,0.0,1,0.0
HBL,2023-02-01,0.0,1,0.0
